model_number,description
B0736,"Border Fine Arts 'the London Omnibus', model No. B0736 by Ray Ayres, limited edition */500"
B0737,"Border Fine Arts 'Building Britain' (JCB), model No. B0737 by Ray Ayres, limited edition */950"
B0738,"Border Fine Arts 'Hay Baling', model No. B0738 by Ray Ayres, limited edition */2002"
B0739,"Border Fine Arts 'the Bride', model No. B0739 by Craig Harding, limited edition */1500"
B0740,"Border Fine Arts 'Thirsty Work' (Man and Boy), model No. B0740 by Craig Harding, limited edition */1250"
B0741,"Border Fine Arts 'Blue Faced Leicester Ewe and Lambs' (Style Two), model No. B0741 by Ray Ayres, limited edition */950"
B0744,"Border Fine Arts '20 Acres A Day', model No. B0744 by Ray Ayres, limited edition */500"
B0745,"Border Fine Arts 'the Fortune Teller', model No. B0745 by Ray Ayres, limited edition */300"
B077,"Border Fine Arts 'A Long Day Ahead', model No. B077"
B0773,"Border Fine Arts 'Aberdeen Angus Bull' (Style Three), model No. B0773 by Jack Crewdson, limited edition */750"
B0774,"Border Fine Arts 'Charolais Ram', model No. B0774 by Ray Ayres, limited edition */750"
B0775,"Border Fine Arts 'Travelling Home From Appleby Fair', model No. B0775 by Ray Ayres, limited edition */600"
B0779,"Border Fine Arts 'Autumn Reds', model No. B0779"
B0789,"Border Fine Arts 'A Day With the Hounds' (Huntsman and Hounds), model No. B0789 by Anne Wall, limited edition */1500"
B0791,"Border Fine Arts 'Hackney' (Action, Style One), model No. B0791 by Anne Wall, limited edition */950"
B0799,"Border Fine Arts 'Golden Memories' (Ferguson 35), model No. B0799 by Ray Ayres"
B0801,"Border Fine Arts 'on Parade', model No. B0801 by Anne Wall, limited edition */950"
B0801A,"Border Fine Arts 'on Parade', model No. B0801A by Anne Wall, limited edition */950"
B0803A,"Border Fine Arts 'Winter Rations' (Belgian Blue Cross), Second version, model No. B0803A by Kirsty Armstrong"
B0803B,"Border Fine Arts 'Winter Rations' (Second Version), model No. B0803B by Kirsty Armstrong"
B0807,"Border Fine Arts 'Aberdeen Angus Cow and Calf' (Style Three), model No. B0807 by Jack Crewdson, limited edition */750"
B0810,"Border Fine Arts 'the Coronation Coach, 1953', model No. B0810 by Ray Ayres, limited edition */350"
B0812,"Border Fine Arts 'Cumbrian Fell Pony', model No. B0812 by Kirsty Armstrong, limited edition */750"
B0814,"Border Fine Arts 'Morning Exercise At Balmoral', model No. B0814 by Craig Harding, limited edition */500"
B0832,"Border Fine Arts 'A Day's Work Ditching', model No. B0832 by Ray Ayres, limited edition */2003"
B0833,"Border Fine Arts 'Belgian Blue Bull' (Style Four), model No. B0833 by Jack Crewdson, limited edition */500"
B0835,"Border Fine Arts 'Hereford Cow and Calf', model No. B0835 by Ray Ayres, limited edition */950"
B0836,"Border Fine Arts 'the Trotter', model No. B0836 by Jacqueline Francis, limited edition */500"
B0837,"Border Fine Arts 'Birthday Surprise', girl and postman, model No. B0837 by Craig Harding, limited edition */950"
B0838,"Border Fine Arts 'Guinness Dray', model No. B0838 by Ray Ayres, limited edition */1250"
B0850,"Border Fine Arts 'A Pair for the Royal', model No. B0850 by Kirsty Armstrong"
B0855,"Border Fine Arts 'Limousin Family', model No. B0855 by Ray Ayres, limited edition */950"
B0857,"Border Fine Arts 'Where There's Muck There'S Money', model No. B0857 by Ray Ayres, limited edition */1500"
B0858,"Border Fine Arts 'Along the Shoreline' (Dog Otter), model No. B0858 by Ray Ayres, limited edition */950"
B0861,"Border Fine Arts 'Getting Ready for the Show', model No. B0861 by Craig Harding, limited edition */950"
B0862,"Border Fine Arts 'Red Squirrel and Goldcrests', model No. B0862 by Ray Ayres, limited. edition */500"
B0865,"Border Fine Arts 'What Am I Bid?' (Swaledale), model No. B0865 by Ray Ayres, limited edition */350"
B0876,"Border Fine Arts 'Boxing Day Meet' (Horse, huntsman and hounds), model No. B0876 by Anne Wall, limited edition */950"
B0876A,"Border Fine Arts 'Boxing Day Meet' (Horse, huntsman and hounds), model No. B0876A by Anne Wall, limited edition */950"
B0877,"Border Fine Arts 'on the Hill' (Shepherd, Sheep and Border Collie), model No. B0877 by Craig Harding, limited edition */750"
B0879,"Border Fine Arts 'Scramble', model No. B0879 by Ray Ayres, limited edition */750"
B0880,Border Fine Arts 'Second Brewed' model No. B0880
B0881,"Border Fine Arts 'End of An Era' huntsman with two hounds, model No. B0881 by David Mayer, limited edition */500"
B0882,"Border Fine Arts 'Canada Goose and Goslings' (Style Three), model No. B0882 by Jack Crewdson, limited edition */500"
B0883,"Border Fine Arts 'Just Married', model No. B0883 by Ray Ayres, limited edition */950"
B0885,"Border Fine Arts 'Fellhound and Terriers', model No. B0885 by Anne Wall, limited edition */950"
B0888,"Border Fine Arts 'The Champion Shire', model No. B0888 by Anne Wall, limited edition */500"
B0888A,"Border Fine Arts 'the Champion Shire', model No. B0888A by Anne Wall, limited edition */500"
B0890,"Border Fine Arts 'Putting the World To Rights' (Farmer, Bull and Dog), model No. B0890 by Ray Ayres, limited edition */500"
B0891,"Border Fine Arts 'the Awkward Cow', model No. B0891 by Ray Ayres, limited edition */750"
B0892,"Border Fine Arts 'Carrying Burdens' (Pony, Rider and Border Collies), model No. B0892 by Hans Kendrick, limited edition */950"
B0893,"Border Fine Arts 'Causing A Stir' (Otter and Grebe), model No. B0893 by Ray Ayres, limited edition */950"
B0895,"Border Fine Arts 'the Last Bout' (Reaper Binder), model No. B0895 by Ray Ayres, limited edition */600"
B0902,"Border Fine Arts 'What Am I Bid?' (Texel), model No. B0902 by Ray Ayres, limited edition */350"
B0903,"Border Fine Arts 'What Am I Bid?' (Blackfaced), model No. B0903 by Ray Ayres, limited edition */350"
B0904,"Border Fine Arts 'What Am I Bid?' (Suffolk), model No. B0904 by Ray Ayres, limited edition */350"
B0905,"Border Fine Arts 'A Night At the Dogs' (Greyhounds), model No. B0905 by Margaret Turner, limited edition */500"
B0906,"Border Fine Arts 'Welsh Cob Mare and Foal' (Style Two), model No. B0906 by Anne Wall, limited edition */950"
B0908,"Border Fine Arts 'Flying Barn Owl', model No. B0908 by Russell Willis, limited. edition */500"
B0912,"Border Fine Arts 'Changing Times' (ford ferguson No. 9n), model No. B0912 by Ray Ayres"
B0917,"Border Fine Arts for John Deere 'Sowing the Good Seed', model No. B0917 by Ray Ayres, limited edition */950"
B0918,"Border Fine Arts 'the Iiia' (Field Marshall Series 3), model No. B0918 by Ray Ayres, limited edition */1500"
B0926,"Border Fine Arts 'At the Slip', model No. B0926 by Paul Back, limited edition */500"
B0929,"Border Fine Arts 'Belgian Blue Cow and Calf' (Style Three), model No. B0929 by Jack Crewdson, limited edition */500"
B0931,"Border Fine Arts 'the Bonny Fisher Lad', model No. B0931 by Hans Kendrick, limited edition */500"
B0942A,"Border Fine Arts 'Faithful Friends' (Horse and Puppy), model No. B0942A by Anne Wall, limited edition */500"
B0945,"Border Fine Arts 'Clearing the Way' (2006 Land Rover), model No. B0945 by Ray Ayres, limited edition */750"
B0946,"Border Fine Arts 'the Last Laugh', heavy horse pulling Fergie TE20 tractor, model No. B0946 by Ray Ayres, limited edition */950"
B0947,"Border Fine Arts 'Finishing Off' (Horse and Blacksmith), model No. B0947 by Hans Kendrick, limited edition */500"
B0948,"Border Fine Arts 'Highland Secret' (Scottish Wildcat), model No. B0948 by Ray Ayres, limited edition */250"
B0951A,"Border Fine Arts 'Following To Hounds', model No. B0951A by Anne Wall, limited edition */750"
B0952A,"Border Fine Arts 'the Vanna' (Horse), model No. B0952A by Anne Wall, limited edition */750"
B0953,"Border Fine Arts 'All in A Day's Work' (Farmer on ATV Herding Sheep), model No. B0953 by Kirsty Armstrong, limited edition */1500"
B0955,"Border Fine Arts 'Off To the Smithy', model No. B0955 by David Mayer, limited edition */950"
B0956,"Border Fine Arts 'Morning Collection' (Milk Lorry), model No. B0956 by Ray Ayres, limited edition */500"
B0958,"Border Fine Arts 'Highland Chase', model No. B0958 by Richard Roberts, */500"
B0965,"Border Fine Arts 'Down To the Start' (Horse and Jockey), model No. B0965 by Anne Wall, bay horse, limited edition */750"
B0968,"Border Fine Arts 'Trooping the Colour', model No. B0968 by Ray Ayres, limited edition */395"
B0969,"Border Fine Arts 'Admiral Lord Nelson', model No. B0969 by Paul Back, limited edition */500"
B0971,"Border Fine Arts 'Fell Mare and Foal', model No. B0971 by Anne Wall, limited edition */750"
B0974,"Border Fine Arts 'Dexter Cow and Calf', model No. B0974 by Ray Ayres, limited edition */500"
B0975,"Border Fine Arts 'Lleyn Ewe and Lambs', model No. B0975 by Ray Ayres, limited edition */500"
B0976,"Border Fine Arts 'Back From the Auction', model No. B0976 by Ray Ayres, limited edition */500"
B0978,"Border Fine Arts 'Reversible Ploughing' (Nuffield 4/65 Diesel Tractor), model No. B0978 by Ray Ayres, limited edition */1500"
B0985,"Border Fine Arts 'Lacking Horse Power', model No. B0985 by Ray Ayres, limited edition */950"
B0987,"Border Fine Arts 'Osprey' (Style Three), model No. B0987 by Ray Ayres, limited edition */500"
B0989,"Border Fine Arts 'Rag, Bone, Any Old Iron?', model No. B0989 by Ray Ayres, limited edition */500"
B0990B,"Border Fine Arts 'Ploughman's Lunch' (Grey Shire, Farmer and Collie), model No. B0990B by Anne Wall, limited edition */1750"
B0993,"Border Fine Arts 'Longhorn Cow and Calf', model No. B0993 by Ray Ayres, limited edition */500"
B0995,"Border Fine Arts 'Noisy Neighbours' (Nuthatches and Woodpeckers), model No. B0995 by Ray Ayres, limited edition */500"
B0998,"Border Fine Arts 'Welsh Black Cow and Calf', model No. B0998 by David Mayer, limited edition */500"
B0999,"Border Fine Arts 'Welsh Black Bull', model No. B0999 by David Mayer, limited edition */500"
B1001,"Border Fine Arts '3 Mile Back Up T' Road', model No. B1001 by Ray Ayres, limited edition */500"
B1003,"Border Fine Arts 'Brown Site Development' (Fordson Major with JCB Excavator), model No. B1003 by Ray Ayres, limited edition */500"
B1009,"Border Fine Arts 'Waterloo Chase', model No. B1009 by Hans Kendrick, limited edition */350"
B1011,"Border Fine Arts 'Foxhound', Millennium model No. B1011 by Margaret Turner, limited edition */500"
B1015,"Border Fine Arts 'Pot Cart', model No. B1015 by Ray Ayres, limited edition */600"
B1016,"Border Fine Arts 'Today's Catch' kingfishers, model No. B1016 by Ray Ayres, limited. edition */500"
B1018,"Border Fine Arts Table Lamp 'Mind Y'Selves', model No. B1018 by Ray Ayres"
B1022,"Border Fine Arts 'Afternoon Deliveries' (Lorry, Geese and Pig), model No. B1022 by Ray Ayres, limited edition */500"
B1028,"Border Fine Arts 'Warm Work on A Cold Day', model No. B1028 by Hands Kendrick, limited edition */500"
B1030,"Border Fine Arts 'Grey Partridge', model No. B1030, limited edition */250"
B1034,"Border Fine Arts 'Spade Work' (Jack Russell and Smooth-Haired Terrier), model No. B1034 by Anne Wall, limited edition */500"
B1037,"Border Fine Arts 'Tipping Turnips', model No. B1037 by Ray Ayres, limited edition */950"
B104,"Border Fine Arts 'Black-faced Ewe and Collie', model No. B104 by Ray Ayres"
B1040,"Border Fine Arts 'Off the Fell' (Farmer, sheep and border collie), model No. B1040 by Hans Kendrick, limited */750"
B1053A,"Border Fine Arts 'Lurcher' (Standing, Style Three), model No. B1053A, limited edition */500"
B1057,"Border Fine Arts 'Old Meets New', model No. B1057 by Ray Ayres, limited edition */950"
B1070A,"Border Fine Arts 'Hounds Away' (Huntsman, Horse and Hounds), model No. B1070A by Anne Wall, limited edition */950"
B1072,"Border Fine Arts 'Holstein Cow', model No. B1072, limited edition */750"
B1074,"Border Fine Arts 'The March Hares', model No. B1074 by Ray Ayres, limited edition */500"
B1079,"Border Fine Arts 'Having 10' (Shepherd, Collie and Bearded Collie), model No. B1079 by Hans Kendrick, limited edition */950"
B1087,"Border Fine Arts 'Winter Guests', model No. B1087 by Hans Kendrick, limited edition */500"
B1091,"Border Fine Arts 'Fell Huntsman' (Huntsman on foot, with Hounds and Terriers), model No. B1091 by Ray Ayres, limited edition */350"
B1098,"Border Fine Arts 'Hedge Trimming', model No. B1098 by Ray Ayres, limited edition */950"
B1100,"Border Fine Arts 'To the Rescue', model No. B1100 by Hans Kendrick, limited edition */600"
B1103,"Border Fine Arts 'Fleeced', model No. B1103 by Hans Kendrick, limited edition */350"
B1104,"Border Fine Arts 'Garden Party', model No. B1104 by Ray Ayres"
B1119,"Border Fine Arts 'Cheviot Ewe and Lambs', model No. B1119 by Ray Ayres, limited edition */500"
B1121,"Border Fine Arts 'Merino Ram', model No. B1121 and 'Merino Ewe and Lamb',"
B1124A,"Border Fine Arts 'Hunter', model No. B1124A by David Mayer, limited edition */150"
B1127,"Border Fine Arts 'the Vanna Mare and Foal', model No. B1127 by Anne Wall, limited edition */750"
B1140,"Border Fine Arts 'Bought At Market', model No. B1140 by Ray Ayres, limited edition */600"
B1147,"Border Fine Arts 'Bittern', model No. B1147, by Ray Ayres, limited edition */250"
B1153,"Border Fine Arts 'All Set for Appleby Fair', model No. B1153 by Ray Ayres, limited edition */600"
B1159,"Border Fine Arts 'Out of Luck', model No. B1159, limited edition */500"
B1161,"Border Fine Arts 'Fuelling the Farm', model No. B1161 by Ray Ayres, limited edition */500"
B1163,"Border Fine Arts 'All Set for Appleby Fair', model No. B1163 by Ray Ayres, limited edition */600"
B1164,"Border Fine Arts 'Clearing the Culvert' (JCB Loadall), model No. B1164 by Ray Ayres, limited edition */500"
B1170,"Border Fine Arts 'Steep Descent', model No. B1170 by Hans Kendrick, limited edition */500"
B1176,"Border Fine Arts 'on the Edge', model No. B1176 by hans kendrick, limited edition */500"
B1186,"Border Fine Arts 'Evening Reflections', model No. B1186, by Ray Ayres, 'Golden Eagle'"
B1189,"Border Fine Arts 'Sea Eagle', model No. B1189 by Keith Sherwin, 29cm high, limited edition */350"
B1191,"Border Fine Arts 'Sharing Secrets', model No. B1191, limited edition */600"
B1195,"Border Fine Arts 'Thoroughbred Stallion', model No. B1195, by David Meyer, limited edition */150"
B1203,"Border Fine Arts 'the Unicorn', model No. B1203 by Ray Ayres, limited edition */350"
B1207,"Border Fine Arts 'Keep on Running"", model No. B1207"
B1213,"Border Fine Arts 'Windfall' model No. B1213, limited edition */250"
B1215,"Border Fine Arts 'Left Behind', model No. B1215 by Hans Kendrick, limited edition */500"
B1220,"Border Fine Arts 'A Tight Turn' (David Brown 950 Forager and Trailer), model No. B1220 by Ray Ayres, limited edition */750"
B1228A,"Border Fine Arts 'Watering Place', model No. B1228A by Anne Wall, limited edition */500"
B1234,"Border Fine Arts 'Zwartble Ewe and Lambs', model No. B1234 by Ray Ayres, limited edition */350"
B1235,"Border Fine Arts 'the Country Bus', model No. B1235 by Ray Ayres, limited edition */350"
B1236,"Border Fine Arts 'Fine Weather Work', model No. B1236 by Ray Ayres, limited edition */750"
B1243,"Border Fine Arts 'Taking To the Tup', model No. B1243 by Hans Kendrick, limited edition */500"
B1249,"Border Fine Arts 'Hard Work By Hand', model No. B1249 by Ray Ayres, limited edition */500"
B1250,"Border Fine Arts 'Getting the Feed Out', model No. B1250 by Ray Ayres, limited edition */500"
B1260,"Border Fine Arts 'Galloway Cow & Calf', model No. B1260 by Kirsty Armstrong, limited edition */500"
B1260A,"Border Fine Arts 'Galloway Cow & Calf', model No. B1260A by Kirsty Armstrong, limited edition */500"
B1261,"Border Fine Arts 'Scenting Fun', model No. B1261"
B1265,"Border Fine Arts 'Prize Show', model No. B1265"
B1272,"Border Fine Arts 'Fresh From the Spey', (Osprey feeding young), model No. B1272 by Keith Sherwin"
B1282,"Border Fine Arts 'Welsh Ram, Ewe and Lamb', model No. B1282 by Antony Halls, limited edition */500"
B1292,"Border Fine Arts 'Summer Callers', model No. B1292 by Ray Ayres"
B1294,"Border Fine Arts 'Look Out Post', model No. B1294 by Ray Ayres, limited. edition */250"
B1298,"Border Fine Arts 'Wary' (Hare among Thistles), model No. B1298 by Ray Ayres, limited edition */150"
B1363,"Border Fine Arts 'Good Retrieve', model No. B1363 by keith sherwin, limited edition */500"
B1378,"Border Fine Arts 'Fruit'n'Veg', model No. B1378 by Ray Ayres, limited edition */400"
B1381,"Border Fine Arts 'Serene Journey', model No. B1381 by Ray Ayres, ""To Commemorate the Marriage of Prince William of Wales and Miss Catherine Middleton, 29th April 2011"""
B1382,"Border Fine Arts 'Standing Firm' (Kerry Hill Black & White), model No. B1382 by Ray Ayres, limited edition */350"
B1383,"Border Fine Arts 'Logs for Sale' (Grey Fergie), model No. B1383 by Ray Ayres, limited edition */600"
B1384,"Border Fine Arts 'Morning Call' (Cockeral), model No. B1384 by Ray Ayres, limited edition */350"
B1389,"Border Fine Arts 'Taking A Break', model No. B1389 by Ray Ayres, limited edition */500"
B1393,"Border Fine Arts 'Herdwick Ewe and Lambs', model No. B1393 by Ray Ayres, limited edition */350"
B1394,"Border Fine Arts 'Learning the Trade', model No. B1394 by Ray Ayres, limited edition */90"
B1422,"Border Fine Arts 'Golden Pheasant', model No. B1422, by Keith Sherwin, limited edition */250"
B1440,"Border Fine Arts 'A New Bale' (David Brown Selectamatic 880), model No. B1440 by Ray Ayres, limited edition */500"
B1441,"Border Fine Arts 'Badger Face Ewe and Lambs' (Torddu), model No. B1441 by Ray Ayres, limited edition */350"
B1442,"Border Fine Arts 'Dusk Patrol', model No. B1442, by Keith Sherwin, limited edition */350"
B1476,"Border Fine Arts 'One Up, One Down', model No. B1476"
B1477,"Border Fine Arts 'Zwartble Ram, Ewe and Lamb', model No. B1477 by Ray Ayres, limited edition */350"
B1481,"Border Fine Arts 'A Bit of A Stretch' (McCormick Farmall), model No. B1481 by Ray Ayres, limited edition */500"
B1514,"Border Fine Arts 'Putting Up' (Black Labrador), model No. B1514, limited edition */350"
B1527,"Border Fine Arts 'When Push Comes To Shove', model No. B1527 by Ray Ayres, limited edition */500"
B1541,"Border Fine Arts 'Rough Fell Ewe and Lambs', model No. B1541 by Ray Ayres, limited edition */350"
B1575,"Border Fine Arts 'Keeping Guard' (Pheasants), model No. B1575, limited edition */250"
B160,"Border Fine Arts 'Friesian Cow and Calf', model No. B160"
B1662,"Border Fine Arts 'Bolt From the Blue' (Farmer and Fordson), model No. B1662 by Ray Ayres"
B168,"Border Fine Arts 'Simmental Calves', model No. B168 by David Walton "
B1692,"Border Fine Arts 'the Future of Farming', model No. B1692 by Ray Ayres, limited edition */350"
B9,"Border Fine Arts 'Large Blue' Butterfly, model No. B9"
BCM01,"Border Fine Arts 'Hard Times' (Vole), model No. BCM01"
BCM02,"Border Fine Arts 'Times of Plenty' (Wood Mouse), model No. BCM02 by Ray Ayres"
BCM04,"Border Fine Arts 'Happy Days', model No. BCM04"
BCM06,"Border Fine Arts 'Spring Outing' (dormice), model No. BCM06"
BFA202,"Border Fine Arts 'You Can Lead A Horse To Water' (Heavy Horses), model No. BFA202 by Anne Wall, limited edition */1500"
BFA203,"Border Fine Arts Elephant Group 'Follow My Leader', model No. BFA203 by Richard Roberts, Ltd. edition No. */950"
BFA204,"Border Fine Arts 'the Last Look' (Dog Fox), model No. BFA204 by Ray Ayres, limited edition */1250"
BFA205,"Border Fine Arts 'Monarch of Glen Mhor' (Red Stag and Hinds), model No. BFA205 by David Walton, limited edition */500"
BS3,"Border Fine Arts 'Harbour Life', model No. BS3 by Richard Roberts"
CF26,"Border Fine Arts 'White Bindweed Fairy' (style one), model No. CF26 by Glenis Devereux, 14cm high, limited. edition */1950"
DG24,"Border Fine Arts 'Irish Setter', seated - style one, model No. DG24 "
DL1,"Border Fine Arts 'Golden Retriever' (Walking style two), model No. DL1"
DL2,"Border Fine Arts 'Doberman Pinscher', model No. DL2"
DL3,"Border Fine Arts 'German Shepherd', model No. DL3 by Ray Ayres"
DL5,"Border Fine Arts 'Afghan Hound', walking - style three, model No. DL5 by Ray Ayres"
DL7,"Border Fine Arts 'Boxer', model No. DL7"
DL8,"Border Fine Arts 'Airedale Terrier', model No. DL8"
DM1,"Border Fine Arts 'Miniature Poodle', model No. DM1 "
DM2,"Border Fine Arts 'Beagle', model No. DM2 by Ray Ayres"
DPG03,"Border Fine Arts 'German Shepherd and Pup', model No. DPG03 "
DPG04B,"Border Fine Arts 'Jack Russel Terrier and Pup', model No. DPG04B "
DS5AB,"Border Fine Arts 'Jack Russell Terrer', model No. DS5AB, by Ray Ayres"
EG03,"Border Fine Arts 'Mule Ewe and Lambs', model No. EG03 by Mairi Laing Hunt, limited edition */1500"
EG04,"Border Fine Arts 'Kingfisher and Young' style 1, model No. EG04 by Richard Roberts, limited edition */950"
EG1,"Border Fine Arts 'Show Day At Darrowby'', model No. EG1 by Elizabeth Macallister"
EG1A,"Border Fine Arts 'Show Day At Darrowby', model No. EG1A by Elizabeth MacAllister"
EG1B,"Border Fine Arts 'Showday at Darrowby"", model No. EG1B by Elizabeth MacAllister"
EW1,"Border Fine Arts 'Lurcher' (Standing, Style One), model No. EW1 by Elizabeth Waugh, limited edition */250"
FE13A,"Border Fine Arts 'Terrier Pup and Mouse', model No. FE13A (brown and white), by Ray Ayres"
FE14A,"Border Fine Arts 'Lamb and Butterfly', model No. FE14A"
FE16,"Border Fine Arts 'Puppy and Robin', model No. FE16"
FE9,"Border Fine Arts 'Piglet and Hen' (pink), model No. FE9"
FT02,"Border Fine Arts border fine arts ""Outfoxed"", model No. FT02"
FT06,"Border Fine Arts 'Mousing', model No. FT06, limited edition */2950"
FT07,"Border Fine Arts ""Family Outing"", model No. FT07 by David Walton, limited edition */1950"
JH10,"Border Fine Arts 'Hay Turning' (Massey Ferguson Tractor and Wuffler), model No. JH10 by Ray Ayres, limited edition */1750"
JH100,"Border Fine Arts James Herriot 'Wrong Side of the Fence' (Ewe and Lambs), model No. JH100 by Anne Wall, limited edition */1500"
JH101A,"Border Fine Arts 'Itching To Scratch', model No. JH101A "
JH103,"Border Fine Arts 'Daily Delivery' (Milkman with Horse-drawn Cart), model No. JH103 by Ray Ayres, limited edition */1500"
JH104,"Border Fine Arts 'Right Place, Wrong Time' (Swaledale Tup, Ewes and Border Collie), model No. JH104 by Ray Ayers, limited edition */1750"
JH107,"Border Fine Arts 'Coming Home', jh9a by jody boyt (a.f.), 'Feeding Time', model No. JH107, limited edition */1750"
JH109,"Border Fine Arts 'Expecting Rain' (Friesian Calf and Rabbit), model No. JH109"
JH11,"Border Fine Arts 'New Arrival At Harland Grange' (Clydesdale Mare and Foal), model No. JH11 by Elizabeth MacAllister"
JH18,"Border Fine Arts 'Down From the Hills' (Shepherd, Sheep and Collie), model No. JH18 by Elizabeth MacAllister, limited edition */1500"
JH27,"Border Fine Arts 'Market Day', model No. JH27 by Elizabeth Macallister, limited edition */950"
JH28,"Border Fine Arts 'Gathering in the Strays' (Sheep and Collie), model No. JH28 by Ray Ayres, limited edition */2500"
JH29,"Border Fine Arts 'New Shoes for Dolly' (Blacksmith Scene), model No. JH29 by Elizabeth MacAllister, limited edition */950"
JH3,"Border Fine Arts 'Moses and Bertha' (cat, sow and pigs), model No. JH3 by Ray Ayres"
JH30,"Border Fine Arts 'Pick of the Littler', model No. JH30 by Ray Ayres"
JH31,"Border Fine Arts 'Warm Day Walling' (Dry Stone Dyking), model No. JH31 by Ray Ayres, limited edition */1250"
JH34,"Border Fine Arts 'Stout Hearts' (Ploughing Scene), model No. JH34 by Ray Ayres"
JH36,Border Fine Arts 'Let Sleeping Dogs Lie' model No. JH36 by David Walton
JH40,"Border Fine Arts 'Moses and Friends', model No. JH40"
JH41,"Border Fine Arts ""Winter Rescue"", model No. JH41 by Anne Butler"
JH43,"Border Fine Arts 'Early Morning Call' (cockerel), model No. JH43"
JH44,"Border Fine Arts 'First Outing' (hen and chicks), model No. JH44 by Anne Butler"
JH45,"Border Fine Arts 'Thirsty Work', model No. JH45"
JH46,"Border Fine Arts 'New Technology Arrives Today' (Fordson Tractor), James Herriot model No. JH46 by Ray Ayres, limited edition */1250"
JH5,"Border Fine Arts 'Jock's Pride' (Sheepdog and Pups), model No. JH5 by Ray Ayres"
JH57,"Border Fine Arts 'Supplementary Feeding' (Tip Cart), model No. JH57 by Anne Butler, limited edition */1750"
JH60,"Border Fine Arts 'Bob and Sweep', model No. JH60"
JH63,"Border Fine Arts 'The Country Doctor' (Man and Gig), model No. JH63 by Ray Ayres, limited edition */1250"
JH64,"Border Fine Arts 'The Fergie' (Tractor Ploughing), model No. JH64 by Ray Ayres, limited edition */1250"
JH65,"Border Fine Arts 'Hedge Laying', model No. JH65 by Ray Ayres, limited edition */1750"
JH66,"Border Fine Arts 'Putting Out the Milk' (Landrover), model No. JH66 by Ray Ayres, limited edition */1500"
JH7,"Border Fine Arts 'Milking At Peter Trenholms', model No. JH7 by Ray Ayres"
JH70,"Border Fine Arts 'the First Cut' (David Brown Cropmaster), model No. JH70 by Ray Ayres, limited edition */1500"
JH72,"Border Fine Arts 'To the Tup Sale' (Morris 1000 Pick-Up), model No. JH72 by David Walton, limited edition */1850"
JH73,"Border Fine Arts 'the Haywain' (Haymaking), model No. JH73 by Anne Wall, limited edition */1500"
JH79A,"Border Fine Arts 'Free Lunch' (pink), model No. JH79A"
JH8,"Border Fine Arts 'Viewing the Practice', All Creatures Great and Small model No. JH8 by Ray Ayres"
JH81,"Border Fine Arts 'Curiosity', model No. JH81 by Anne Wall"
JH82A,"Border Fine Arts 'Morning Feed' (calf and bucket), model No. JH82A"
JH82B,"Border Fine Arts 'Morning Feed' (brown/white), model No. JH82B"
JH83A,"Border Fine Arts 'Whos Milk Is It?', model No. JH83A "
JH91,"Border Fine Arts 'An Early Start' (Massey Ferguson Tractor), model No. JH91 by Ray Ayres"
JH91B,"Border Fine Arts 'An Early Start' (Massey Ferguson Tractor), model No. JH91B by Ray Ayres"
JH92,"Border Fine Arts 'A Major Decision' (Fordson Major E1ADDN Tractor), model No. JH92 by Ray Ayres, limited edition */1500"
JH93,"Border Fine Arts 'A Day in the Country' (Morris 100 Traveller), model No. JH93 by David Walton, limited edition */850"
JH94,"Border Fine Arts 'No Foot, No'Oss', model No. JH94, by Anne Wall "
JH96,"Border Fine Arts sheep group 'Safe Delivery', model No. JH96 by Ray Ayres, limited edition */1500"
JH98,"Border Fine Arts 'Hauling Out' (Field Marshall Tractor), model No. JH98 by Ray Ayres, limited edition */1500"
JH99,"Border Fine Arts 'Spilt Milk', model No. JH99"
JH9A,"Border Fine Arts 'Coming Home' (Two Heavy Horses), model No. JH9A by Judy Boyt"
K236,"Border Fine Arts 'Rearing Black Stallion', model No. K236 by Fred Stone, 26cm high, limited. edition */3500"
L09,"Border Fine Arts 'Roe Deer Fawn' (Lying), Style One, model No. L09 by Victor Hayton, limited edition */500"
L10,"Border FIne Arts 'Piglets (gloucester Old Spot)', model No. L10 by Victor Hayton, pink with black spots, limited edition */500"
L100,"Border Fine Arts 'the Kestrels', model No. L100 by David Burnham Smith, limited edition */950"
L102,"Border Fine Arts 'Simmental Bull' (Style Two), model No. L102 by Ray Ayres, limited edition */1500"
L103,"Border Fine Arts 'Simmental Cow and Calf' (Style Two), model No. L103 by Ray Ayres, limited edition */1500"
L104,"Border Fine Arts 'Halloa Away' (Jumping Huntsman and three Hounds), model No. L104 by Anne Wall, limited edition */500"
L108,"Border Fine Arts 'Texel Ram' (Style One), model No. L108 by Ray Ayres, */850"
L109,"Border Fine Arts 'The Final Furlong' (Two race horses), model No. L109 by Anne Wall, limited edition */950"
L110,"Border Fine Arts 'Jersey Cow' (Polled), model No. L110 by Ray Ayres, limited edition */1250"
L111,"Border Fine Arts 'Jersey Cow' (Horned), model No. L111 by Ray Ayres, limited edition */1250"
L113,"Border Fine Arts 'Shedding' (Shepherd, Collie and Sheep), model No. L113 by Ray Ayres, limited edition */1250"
L116,"Border Fine Arts 'Blonde D'Aquitaine Bull', model No. L116 by Ray Ayres, limited edition */500"
L117,"Border Fine Arts 'Bengal Tiger', model No. L117 by Richard Roberts, limited edition */750"
